timestamp,pressing_id,ax,ay,az,gx,gy,gz
2296193,1,10,-8481,13768,-1319,-1081,-1351
2296296,1,-2137,-8583,12978,700,873,-1296
2296398,1,2172,-8816,13895,492,179,-3231
2296549,1,25248,-623,26880,-1628,3478,18413
2296652,1,21832,23273,32764,-15256,-24518,32764
2296755,1,-5719,32742,28993,-12332,-30075,32764
2296857,1,-21060,26154,24352,-6832,-16760,32764
2296960,1,-13334,6333,11682,8073,-8289,19787
2299164,2,-3063,-9838,12571,1542,1818,-164
2299266,2,-1215,-9442,13388,561,258,-13
2299369,2,-2380,-9040,13565,940,345,-331
2299472,2,-1087,-9308,12698,1007,96,1282
2299575,2,14142,-11294,24901,-634,3128,8816
2299678,2,16576,3644,32181,-18515,-6595,32764
2299781,2,2059,28687,23419,-30662,-7933,32764
2299883,2,-32758,30699,17009,-17737,-23698,32734
2300786,3,9435,-6190,20469,3104,6275,-9244
2300890,3,3470,-8233,13378,13,-252,-1343
2300992,3,-2351,-6944,14744,-203,-1675,903
2301095,3,-999,-6814,14324,-308,-1343,-909
2301198,3,12746,-8239,19675,1920,3694,3007
2301301,3,20939,3923,32764,-10843,-799,28679
2301403,3,11434,25966,28959,-28361,-11495,32764
2301506,3,-22433,32742,16179,-23337,-24800,32764
2313812,4,-1135,-6301,13582,2297,747,-4241
2313914,4,21851,-4346,22902,4402,3243,219
2314018,4,32710,18102,32764,-9572,-1557,32754
2314120,4,-10543,32742,19149,-24332,-20933,32764
2314224,4,-15990,30338,15987,-15537,-11270,32764
2315226,5,-2270,-5197,14647,1741,-874,-253
2315329,5,11406,-1510,20256,-1226,-2954,5196
2315432,5,32710,22565,32764,-18644,-6135,32764
2315535,5,-5068,32742,22492,-29686,-29718,32764
2316638,6,225,-6534,16577,1888,-2112,-2248
2316741,6,1081,-4382,16887,552,-725,-193
2316844,6,32254,8256,28562,-4930,1747,23704
2316946,6,23916,32742,27984,-17309,-14034,32764
2319350,7,353,-770,14488,8057,390,-11082
2319453,7,17356,-2391,16659,7986,-1489,-16518
2319556,7,32710,364,32764,410,11401,29429
2319659,7,9497,32742,13620,-29507,-8465,32764
2338565,8,-1513,-2241,16429,1053,-1893,-3139
2338668,8,-5189,-1022,16751,2854,-2397,-8833
2338771,8,-178,494,16127,4651,-3069,-17645
2338874,8,9029,-613,17402,2471,-369,-11179
2338977,8,31692,-3236,24568,-1468,2049,15778
2339080,8,21923,32742,24909,-20177,4572,32764
2339182,8,-28511,25873,9826,-4793,-12870,32764
2339286,8,-16266,6888,17870,1270,-1594,-4181
2339388,8,-19541,14685,9367,14256,9100,-32764
2339491,8,-3891,32742,13260,19535,2100,-32764
2339594,8,8138,11782,4507,24535,13832,-32764
2339697,8,10771,1554,15296,12870,3087,-16710
2339799,8,10646,1918,20156,474,242,1668
2339903,8,32710,7351,32764,-22015,-2276,32749
2340005,8,17432,32742,23208,-32602,-19583,32764
2340108,8,-32631,19361,16487,8620,-17382,25755
2340211,8,-21958,10948,17729,6606,4493,-20755
2340314,8,-11783,31849,11954,18564,2764,-32764
2340416,8,2408,9938,8533,3081,-9308,-32764
2340519,8,8097,3168,11998,2807,-5515,-20317
2340622,8,13490,3208,19736,-2146,-863,3123
2340725,8,32566,12535,31715,-22182,7143,32764
2340828,8,5578,32742,11723,-31886,-7480,32764
2340931,8,-26534,21479,17683,-1186,-10706,15206
2341034,8,-23415,12725,13463,8831,5700,-25008
2346538,9,-1813,-1824,16129,-42,-276,-177
2346640,9,-1170,-1977,16674,-851,-1636,973
2346744,9,-1901,-1790,15902,-720,-1471,218
2346846,9,-1851,-1339,16914,2196,-319,-3798
2346949,9,4342,-3690,17285,271,893,2632
2347052,9,13280,-4964,21868,-8501,2464,32761
2347155,9,4508,21264,17111,-28420,-6371,32764
2347257,9,-7528,14680,14952,-9361,-11850,21510
2347360,9,-14667,8667,12801,-4704,2784,-7575
2348563,10,2129,-4646,15088,5169,337,-2024
2348666,10,9611,-4182,22889,-5070,1809,6358
2348769,10,24832,4956,23421,-16353,676,32764
2348872,10,-12519,25287,12048,-16289,-16152,32764
2348975,10,-13149,17579,21721,5500,-9608,15955
2349078,10,-18148,11595,15683,5163,2588,-16232
2349180,10,-9041,13745,12940,10399,9429,-32764
2350284,11,2794,-4403,13570,1588,1026,5099
2350386,11,7603,-4080,19604,-415,-866,8232
2350489,11,17980,-1487,22978,-6818,5006,30146
2350592,11,20153,32742,25133,-32558,-17290,32764
2350695,11,-17675,18608,5533,-15656,-10931,24773
2350798,11,-11619,9022,25224,16134,1538,-10537
2352701,12,2019,-1127,16288,-37,2390,-3963
2352804,12,8737,-29,18067,317,2447,1756
2352907,12,14170,1714,16260,-2505,1724,16554
2353048,12,9534,22304,18778,1125,-4655,32764
2353151,12,-16420,18142,11139,565,-2294,32764
2353254,12,-9767,11056,22766,4038,3566,-3612
2354257,13,629,-2435,16678,-2190,3407,-3897
2354360,13,-634,-2926,16753,-1970,-403,-637
2354462,13,4256,-1602,16134,-130,157,744
2354566,13,13274,3049,17744,-2160,-1358,10480
2354668,13,12836,17553,24356,-1389,-6213,32764
2354772,13,-10823,21436,12189,-1836,-18913,32764
2354874,13,-26367,6473,18351,6851,-13912,32764
2356077,14,2450,-2188,15308,1925,1671,-624
2356180,14,6555,-878,17777,-101,-789,2938
2356283,14,1634,-1656,17995,-1972,-3293,8221
2356386,14,3152,143,15796,-3990,-5220,11835
2356489,14,13990,8088,13462,-441,-6162,30542
2356592,14,-16775,27068,16465,4630,2499,32764
2356694,14,-32378,-2831,9397,-477,-6525,30333
2357598,15,656,-536,17363,-1061,-147,-1887
2357700,15,3975,-607,15350,-73,-1038,-124
2357803,15,3340,-2175,16800,-280,-676,-1068
2357906,15,13006,3056,18784,283,-4204,1805
2358009,15,9981,3617,18780,-2412,-3536,13848
2358111,15,18769,25064,13361,3615,-3681,32764
2358214,15,-32758,25678,25825,-14583,8638,32764
2358317,15,-30228,10526,19311,8817,3778,31311
2366221,16,3168,-6743,14258,-671,2290,-7220
2366325,16,30573,-7430,20718,1176,6620,2865
2366427,16,32710,13388,30182,-16352,-13731,32764
2366531,16,-32347,32742,32764,-3644,-32764,32764
2367333,17,-487,-5502,16194,2846,-404,-2606
2367436,17,4231,-6229,16078,2644,2992,1195
2367539,17,734,-5513,16164,620,220,525
2367642,17,12148,-5722,17691,-1232,2,3078
2367745,17,27082,411,24605,-4534,-1504,22870
2367848,17,27983,30059,24641,-19912,-6353,32764
